"track","artist","stream_on_youtube","stream_on_spotify"
"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","Metro Boomin","0","81603704"
"Rêves bizarres (feat. Damso)","Orelsan","0","70437022"
"Color Esperanza 2020","Río Roma","0","89466323"
"Never Be Alone (feat. Aloe Blacc)","Aloe Blacc","0","47596159"
"OQIGAP?","Mc Davi","0","17311797"
"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jason Derulo","0","230005291"
"Only Love Can Hurt Like This - Sped Up Version","Paloma Faith","0","13979392"
"Bad Boy","Cascada","0","42190812"
"Formentera","Aitana","0","120720746"
"24-Jul","Sofía Reyes","0","10097187"
"Te Busco","Cosculluela","0","233775834"
"up at night (feat. justin bieber)","Kehlani","0","48553319"
"This Is The Last Time","Keane","0","87253992"
"Written All Over Your Face","Louis Tomlinson","0","12841680"
"Água Nos Zói - Ao Vivo","Clayton & Romário","0","85639987"
"Rewrite The Stars","Zendaya","0","811031337"
"ARE YOU WITH THAT?","Vince Staples","0","40299375"
"Family Line","Conan Gray","0","83364472"
"1AM FREESTYLE","Joji","0","26191093"
"Bankroll Got Bigger","D-Block Europe","0","6798612"
"Hero","JVKE","0","22813992"
"Blue Light","Mazzy Star","0","18060236"
"Stay With Me","Sam Smith","0","1682210631"
"Scared Money (feat. J. Cole & Moneybagg Yo)","YG","0","53726033"
"YANKEE","Quevedo","0","8740650"
"DARK BROTHERHOOD (feat. Lil Baby)","Trippie Redd","0","4886298"
"Zithande","Freshlyground","0","247803"
"Amiga","Maelo Ruiz","0","47434236"
"BEDOESIARA","White 2115","0","27437244"
"Want U Around (feat. Ruel)","Omar Apollo","0","51121838"
"I'll Sleep When I'm Dead","Set It Off","0","59395032"
"Stuck with U (with Justin Bieber)","Ariana Grande","0","903479196"
"OG Black","Randy","0","6951109"
"white wine","Lil Tracy","0","140912081"
"Baby, I Love You","The Ronettes","0","12193967"
"IMPORTED (with 6LACK)","Jessie Reyez","0","137669561"
"Sólo para Ti","Camila","0","83624793"
"We Are The People","Empire of the Sun","0","241358276"
"Rotation 112th","Jay Rock","0","11510361"
"Got What I Got","Jason Aldean","0","151083877"
"Hold My Hand","Jess Glynne","0","397872646"
"Cheating on You","Charlie Puth","0","269510500"
"BAILÉ CON MI EX","Becky G","0","57020051"
"Jealous","Eyedress","0","397464720"
"Bruuuh (with Denzel Curry) - Remix","Denzel Curry","0","39147511"
"Fame","Niska","0","4604631"
"Die Young (feat. 347aidan)","Sleepy Hallow","0","133126327"
"goosebumps","Travis Scott","0","1888027534"
"Symphony (feat. Zara Larsson)","Zara Larsson","0","1220003456"
"Pasos de cero","Pablo Alborán","0","137756040"
"Kampfgeist V","Kontra K","0","7520519"
"Evanda Enakku Custody","Santhosh Narayanan","0","17001665"
"SEXTIME","Young Cister","0","44599538"
"Infinity - Sped Up Version","Jaymes Young","0","2151698"
"X (with 2 Chainz & Saudi)","ScHoolboy Q","0","248242039"
"Pumpkin Seeds","Lupe Fiasco","0","598153"
"We Own It (Fast & Furious)","Wiz Khalifa","0","387222121"
"Sunsetz","Cigarettes After Sex","0","261713059"
"Up","Cardi B","0","534021884"
"Something New","Zendaya","0","61085827"
"she's all i wanna be","Tate McRae","0","289972652"
"Outside","Bryson Tiller","0","18428804"
"Hallo, hallo, schön, dass du da bist","Karsten Glück","0","23760930"
"Would That I","Hozier","0","76569358"
"Time of Our Lives","Ne-Yo","0","981156901"
"DOPPELLEBEN (feat. Bausa)","Capo","0","1983824"
"Rosyln","Bon Iver","0","287485443"
"Tears Dry On Their Own","Amy Winehouse","0","302457737"
"Gasoline","Connor Price","0","18985508"
"Wake Me Up - Acoustic","Aloe Blacc","0","95475594"
"Malas Rachas","Tony Aguirre","0","8678433"
"Heat Waves","Glass Animals","0","2261464473"
"Wet Dreamz","J. Cole","0","887206376"
"Haven (from Life Is Strange)","Novo Amor","0","34227595"
"The Best Part of Life (Imanbek Remix)","SAINt JHN","0","20946657"
"Back One Day (Outro Song)","NEFFEX","0","3353278"
"Saat Saat Itu","Last Child","0","4252556"
"P A S C O M M E Ç A","Tiakola","0","36443008"
"VALENTINO","24kGoldn","0","391257235"
"ARE WE STILL FRIENDS?","Tyler, The Creator","0","235510214"
"Mystery Lady","Masego","0","141369736"
"Cheerleader - Felix Jaehn Remix Radio Edit","Felix Jaehn","0","1400372645"
"Drachenzähmen leicht gemacht - Teil 1","Thomas Karallus","0","366132"
"Me and My Husband","Mitski","0","208600500"
"Bolide allemand","SDM","0","7570175"
"Innocence and Sadness","Dermot Kennedy","0","12830375"
"i don't feel part of the world anymore","Shiloh Dynasty","0","46643470"
"Mr. Percocet","Noah Cyrus","0","12160841"
"Want Her","Mustard","0","156263300"
"Tchau Obrigado","Mc IG","0","30263858"
"Travesuras - Remix","Nio Garcia","0","187190711"
"Sundream","RÜFÜS DU SOL","0","81260564"
"EARFQUAKE","Tyler, The Creator","0","709846048"
"Be My Angel","Mazzy Star","0","9534440"
"Nan-Nan","Fujii Kaze","0","29902635"
"Can We Kiss Forever?","Kina","0","538587361"
"Follow Me","Rita Ora","0","82813284"
"Tell Me About You (feat. Mishaal)","Kina","0","14805341"
"Everytime We Touch - Fallen Superhero Remix","Cascada","0","12159973"
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","YG","0","347583428"
"Low","SZA","0","94219850"
"Wajahmu Mengalihkan Duniaku","Afgan","0","20267797"
