"track","stream_on_youtube","stream_on_spotify"
"Livin' It Up","0","95165357"
"Te Quiero Comer La Boca","0","46029292"
"Drop The Pressure","0","19808338"
"Ekkada Ekkada","0","4299196"
"She Came In Through The Bathroom Window","0","9822411"
"How Far We've Come","0","105116670"
"You Can Leave Your Hat On","0","56141885"
"What's My Age Again?","0","521711460"
"A Dark Knight","0","25212888"
"Fear of the Dark - 2015 Remaster","0","257262552"
"A Pirate Looks At Forty","0","26194215"
"You're the Inspiration - 2006 Remaster","0","263263996"
"Del Mar","0","300286185"
"Bir Ömür Yetmez","0","14305311"
"Burbujas de Amor","0","74156252"
"Soldiers Prayer AM","0","2380657"
"Don't Think Twice, It's All Right","0","106638958"
"Sunshine Of Your Love","0","326605562"
"Drown","0","164494520"
"Maria Elena","0","19462542"
"Quiet Storm","0","58248733"
"Pearly-Dewdrops' Drops - 7"" Version","0","16696559"
"Öyle Dertli","0","39297036"
"Then Came the Last Days of May","0","35128584"
"Maximus","0","8151586"
"Ya Lo Sabes","0","21491085"
"Creepin' (with The Weeknd & 21 Savage)","0","839497905"
"Vertigo","0","108148330"
"Idhuthaanaa","0","3049383"
"This Love","0","805208409"
"Hey Nineteen","0","60673641"
"Under Cover of Darkness","0","171071918"
"Seasons of Love","0","96318179"
"Never Going Back Again - 2004 Remaster","0","189357854"
"Rain King","0","26222011"
"BAND$","0","6616666"
"Fall At Your Feet","0","55690619"
"Stay Schemin","0","107348067"
"Mi Fido Di Te","0","33693093"
"Bottiglie rotte (feat. Gemitaiz)","0","2019716"
"Sevdim Seni Bir Kere","0","12064288"
"Que Sea","0","206037790"
"The Little Drummer Boy - Remastered 2006","0","88380433"
"woo x I was never there (sped up)","0","22297005"
"Blue Hotel","0","22029829"
"If It Makes You Happy","0","110417272"
"Rhinestone Cowboy","0","15561317"
"Changes - Timmy Trumpet Remix","0","6004583"
"Rayando El Sol","0","227749183"
"Nothin' But A Good Time - Remastered 2006","0","142040351"
"Like I Ain't","0","70676571"
"Bluebird","0","136497255"
"Both (feat. Drake)","0","311784989"
"Hypnotize - 2014 Remaster","0","829984314"
"It's the Most Wonderful Time of the Year","0","674528514"
"Cielo hermético","0","13964755"
"Caminando por la vida","0","83959975"
"Rudolph The Red-Nosed Reindeer - Finale","0","14699669"
"Let It Rock - Single Version","0","7297951"
"Dezemberträume","0","5250595"
"Say Hello, Wave Goodbye - 7"" Single Version","0","19257475"
"Bailando por Ahi","0","150617001"
"Oogway Ascends","0","32272478"
"Gymnopédie No. 1","0","108602626"
"A Lannister Always Pays His Debts","0","38705608"
"Down On The Corner","0","303815108"
"El Amor Soñado","0","112752326"
"I'm Just a Kid","0","228882778"
"The Lovecats","0","68848994"
"Salamander Eyes","0","12929575"
"Ocean Prime (feat. Boldy James)","0","9703157"
"Back That Up To The Beat - sped up version","0","2915378"
"Everytime I Close My Eyes (with Babyface)","0","17453665"
"Don't Go To Strangers","0","26260813"
"Sunshine On My Shoulders","0","45866471"
"When I Grow Up","231236307","260959663"
"Y Nos Dieron las Diez","0","90242382"
"Check Yo Self - Remix","0","202886849"
"Mean To Me","0","14676981"
"Weekend Love","0","1554029"
"Ain't Talkin' 'Bout Love - 2015 Remaster","0","126323886"
"Mi Gente - Hugel Remix","0","24374594"
"I Put A Spell On You","0","117300896"
"Khamoshiyan (From ""Khamoshiyan"")","0","46537728"
"Under the Moon","0","27297321"
"The Jester's Dance","0","8673345"
"Saint-Saëns / Transcr. Vidal: Le carnaval des animaux: XIII. Le cygne","0","22475498"
"Band On The Run - 2010 Remaster","0","211266445"
"Fatal","0","3735113"
"Que Levante La Mano","0","44780733"
"Día De Suerte","0","34725262"
"I Love You Too Much","0","17485678"
"Quiero Que Sepas","0","68634733"
"Dipset (Santana's Town)","0","9455666"
"Best Love Song","0","135396308"
"Soy una Gargola","0","51303798"
"Ukryty w Mie?cie Krzyk","0","12125111"
"Christmas Time Is Here","0","44660880"
"Across the Universe","0","43401721"
"Vestido de Seda - Ao Vivo","0","49513768"
"Natural Mystic","0","78846083"
"Special K","0","26557485"
"coney island (feat. The National)","0","108981666"
"Age Ain't Nothing But a Number","0","27785203"
